counter,filename,scan_type,obs_seq,ele,n1,n2
3848,mapmaker_POLE3-334-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-334-0,POLE3,334,0
3849,mapmaker_POLE3-334-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-334-1,POLE3,334,1
3850,mapmaker_POLE3-334-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-334-2,POLE3,334,2
3851,mapmaker_POLE3-334-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-334-3,POLE3,334,3
3852,mapmaker_POLE3-335-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-335-0,POLE3,335,0
3853,mapmaker_POLE3-335-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-335-1,POLE3,335,1
3854,mapmaker_POLE3-335-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-335-2,POLE3,335,2
3855,mapmaker_POLE3-335-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-335-3,POLE3,335,3
3856,mapmaker_POLE3-336-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-336-0,POLE3,336,0
3857,mapmaker_POLE3-336-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-336-1,POLE3,336,1
3858,mapmaker_POLE3-336-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-336-2,POLE3,336,2
3859,mapmaker_POLE3-336-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-336-3,POLE3,336,3
3860,mapmaker_POLE3-337-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-337-0,POLE3,337,0
3861,mapmaker_POLE3-337-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-337-1,POLE3,337,1
3862,mapmaker_POLE3-337-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-337-2,POLE3,337,2
3863,mapmaker_POLE3-337-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-337-3,POLE3,337,3
3864,mapmaker_POLE3-338-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-338-0,POLE3,338,0
3865,mapmaker_POLE3-338-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-338-1,POLE3,338,1
3866,mapmaker_POLE3-338-2_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-338-2,POLE3,338,2
3867,mapmaker_POLE3-338-3_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-338-3,POLE3,338,3
3868,mapmaker_POLE3-339-0_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-339-0,POLE3,339,0
3869,mapmaker_POLE3-339-1_noiseweighted_map_nside4096_invcov.fits.gz,POLE,POLE3-339-1,POLE3,339,1
